ID,GOLD,TEXT
ID-1,neutral,'Black Mirror' Season 5 first look has arrived
ID-2,negative,'Creepy Uncle Joe': Glenn Beck recounts Biden's long history of unwanted touching
ID-3,negative,'Extremely serious' death threat against Ben Shapiro leads to arrest
ID-4,neutral,'Unplanned': How former Planned Parenthood Director Abby Johnson became America's most influential ​anti-abortion activist
ID-5,neutral,‘MAGA bomber’: I didn’t know pipe bombs could hurt anyone
ID-6,negative,‚ÄòUnprecedented‚Äô decline of plants and animals as global ‚Äòred list‚Äô reveals nearly one-third of assessed species are under threat
ID-7,negative,“Ban Me Motherf***er” – Snoop Dogg Blasts Facebook/Instagram Censorship
ID-8,negative,14 sailors killed in submarine fire laid to rest in Russia
ID-9,neutral,16 U.S. Marines Arrested on Human Smuggling Drug Charges near Border
ID-10,negative,2 teens dead after being electrocuted trying to rescue dog in canal
ID-11,negative,2 years after Grenfell experts warn of high-rise fire risk
ID-12,neutral,2016 Lies All Over Again! Biden Launches Campaign With Fake Polls Showing Him 8 Points Ahead Against Trump
ID-13,neutral,4 bodies discovered in North Dakota office building
ID-14,negative,5 gang members convicted in Atlanta’s ‘most brutal murder’
ID-15,neutral,6-year-old boy hospitalized after dingo attack in Australia
ID-16,neutral,900 Migrants Apprehended in 2 Days After Crossing Remote AZ Border Area
ID-17,neutral,A  fantasy: Medieval scholars educate white nationalists on their pure white Europe claims
ID-18,positive,A father fights to keep his daughter alive as anti-vaccine sentiment swells in Italy
ID-19,neutral,A militia group is detaining migrants at the US-Mexico border
ID-20,negative,A Republican senator actually just called out Trump‚Äôs hypocritical order on campus ‚Äòfree speech‚Äô
ID-21,neutral,A top Emirati diplomat says UAE 'very committed to de-escalation' after alleged sabotage of oil tankers
ID-22,neutral,ACLU calls for probe after black man was detained while moving into his home
ID-23,negative,Actor Jeffrey Wright: When We Get the Power Everybody Else F**king Duck
ID-24,neutral,Africa Eye: On the front line of Nigeria‚Äôs energy crisis
ID-25,negative,After 13 straight days of devastating tornadoes 39 million under severe weather threat
ID-26,negative,Alabama Democrat State Rep Calling for 'Unwanted Children' to Be Aborted Announces Primary Challenge Against Sen. Doug Jones
ID-27,neutral,Alabama governor denies reprieve for condemned killer
ID-28,negative,Alexandria Ocasio-Cortez rips Steve King: ‚ÄòYou were too racist even for‚Äô Republicans
ID-29,neutral,An hour of activity may keep disability away
ID-30,neutral,Andrew Gillum Reiterates Call for Impeachment After Mueller Report
ID-31,negative,ÄòA new level of dysfunction Äô: The Trump administration suffers Äòrampant confusion Äô as US foreign policy goes of the rails
ID-32,neutral,AOC claimed world will end in 12 years if climate change not addressed. Now she's changing her tune.
ID-33,negative,AOC hit with brutal backlash for using Holocaust to defend Rep. Ilhan Omar bash President Trump
ID-34,negative,ÄòThe facts we know about already are damning‚Äô: Conservative writer says the GOP would impeach Trump if it werenÄôt run by Äòknow-nothing cultistsÄô
