,ID,Source,Pred,Monthly Visitors November 2020,Text
Source:,,,Anzahl:,,
ABC,,,75,,
Pred:,,,Anzahl:,,
neutral,,,36,,
,ID-157,ABC,neutral,100510000,The Latest: Trump says threats led to carrier deployment
,ID-216,ABC,neutral,100510000,Egypt election commission says voters have approved amendments allowing President el-Sissi to stay in power until 2030
,ID-587,ABC,neutral,100510000,French tycoons show competitive streak over Notre Dame aid
,ID-608,ABC,neutral,100510000,"""Sri Lanka Muslims"
,ID-984,ABC,neutral,100510000,"""Ethiopia"
,ID-1160,ABC,neutral,100510000,The Latest: Bahrain FM gives interview to Israeli TV channel
,ID-1267,ABC,neutral,100510000,Ex-president's son found not guilty in fatal car accident
,ID-1390,ABC,neutral,100510000,Chile says opposition activist Leopoldo López and family have sought refuge in ambassador's residence in Venezuela
,ID-1534,ABC,neutral,100510000,The Latest: Reports: Rocket attack hits Baghdad's Green Zone
,ID-1755,ABC,neutral,100510000,"""Strike paralyzes Haiti"
,ID-1962,ABC,neutral,100510000,66 minutes: The frantic race to save Notre Dame
,ID-1999,ABC,neutral,100510000,S. Korea proposes UN probe over Japanese sanctions claims
,ID-2029,ABC,neutral,100510000,The Latest: Muslim students talk to pope about tolerance
,ID-2108,ABC,neutral,100510000,"""4 Americans"
,ID-2112,ABC,neutral,100510000,Biman Airlines plane skids off runway in Myanmar; 4 injured
,ID-2169,ABC,neutral,100510000,Migrants planning border push clash with police in Greece
,ID-2478,ABC,neutral,100510000,UN rights chief 'appalled' by conditions in US for migrants
,ID-2558,ABC,neutral,100510000,"""Pope in Morocco: Walls"
,ID-2573,ABC,neutral,100510000,Syrian troops take village in last rebel stronghold
,ID-2695,ABC,neutral,100510000,"""Japanese Prime Minister Shinzo Abe says he"
,ID-2828,ABC,neutral,100510000,Mexico says tariffs will send tomato prices soaring in US
,ID-2999,ABC,neutral,100510000,Mexico to issue limited humanitarian visas to migrants
,ID-3079,ABC,neutral,100510000,"""In camp of diehard IS supporters"
,ID-3097,ABC,neutral,100510000,A top Emirati diplomat says UAE 'very committed to de-escalation' after alleged sabotage of oil tankers
,ID-3196,ABC,neutral,100510000,"""Palestinian government sworn in"
,ID-3608,ABC,neutral,100510000,Sudan tensions escalate after talks with military break down
,ID-4004,ABC,neutral,100510000,UN: Bosnia moves migrants to area infested with land mines
,ID-4032,ABC,neutral,100510000,Bear injures 80-year-old woman in Slovenia
,ID-4340,ABC,neutral,100510000,Myanmar holds repatriation talks with refugees
,ID-4386,ABC,neutral,100510000,"""2 years after Grenfell"
,ID-4436,ABC,neutral,100510000,The Latest: European powers concerned about Iran nuke deal
,ID-4447,ABC,neutral,100510000,Venezuela's top court targets opposition lawmakers
,ID-4584,ABC,neutral,100510000,Nordea Bank says its CEO will retire by end-2020
,ID-4784,ABC,neutral,100510000,"""UN says thousands flee Congo violence"
,ID-4900,ABC,neutral,100510000,"""Lakes Erie"
,ID-4947,ABC,neutral,100510000,Netanyahu's future clouded by rivalry with former ally
positive,,,8,,
,ID-238,ABC,positive,100510000,US tells Afghan president Qatar talks best chance for peace
,ID-609,ABC,positive,100510000,Sri Lanka shakes up top security posts after deadly bombings
,ID-790,ABC,positive,100510000,NATO chief plays down divisions as allies mark anniversary
,ID-2065,ABC,positive,100510000,'Thank you': Queen honors D-Day veterans at moving ceremony
,ID-2907,ABC,positive,100510000,France's Macron vows to help restart Serbia-Kosovo talks
,ID-2986,ABC,positive,100510000,"""D-Day at 75: Nations honor veterans"
,ID-3972,ABC,positive,100510000,Austrian chancellor set to face confidence vote next week
,ID-4206,ABC,positive,100510000,Venezuela's Guaidó promises to persevere despite crackdown
negative,,,31,,
,ID-368,ABC,negative,100510000,Delta pilot arrests passenger; plane returns to Puerto Rico
,ID-376,ABC,negative,100510000,More than 170 firefighters battle large wildfire in Greece
,ID-580,ABC,negative,100510000,Cyprus' new police chief apologizes over serial killer case
,ID-747,ABC,negative,100510000,Israel faces possible second election amid coalition crisis
,ID-806,ABC,negative,100510000,Polish opposition rallies to condemn attack on LGBT march
,ID-1050,ABC,negative,100510000,Libya's Sarraj calls for elections in 2019 to end war
,ID-1161,ABC,negative,100510000,The Latest: US jury finds ex-priest guilty of sex abuse
,ID-1281,ABC,negative,100510000,Lyon bomb suspect had pledged allegiance to IS
,ID-1421,ABC,negative,100510000,French probes ultra-right plot to attack religious venue
,ID-1791,ABC,negative,100510000,UN tells Italy proposed decree violates migrants' rights
,ID-1914,ABC,negative,100510000,Syria rejects Arab summit statement on Iran intervention
,ID-1981,ABC,negative,100510000,Hong Kong braces for more protests on handover anniversary
,ID-2188,ABC,negative,100510000,"""State coroner in Greece says woman believed to be a missing American scientist likely died as a result of """"criminal act"""""""
,ID-2410,ABC,negative,100510000,Hamas rebuffs leader's call for worldwide attacks on Jews
,ID-2426,ABC,negative,100510000,"""Russia: Militants in Syria launch attack"
,ID-2596,ABC,negative,100510000,UN envoy arrives in Syria amid violent clashes in the north
,ID-2626,ABC,negative,100510000,Former Peruvian president Alejandro Toledo arrested in US
,ID-3027,ABC,negative,100510000,"""Blue and White leaders concede defeat in Israeli elections"
,ID-3062,ABC,negative,100510000,Vietnamese woman accused in Kim Jong Nam's killing released
,ID-3078,ABC,negative,100510000,Holocaust survivor Eva Kor dies at age 85
,ID-3231,ABC,negative,100510000,The Latest: Sudan official disputes protesters' death toll
,ID-3713,ABC,negative,100510000,Greek police arrest suspect in Greek-Australian's murder
,ID-4093,ABC,negative,100510000,Migrant woman killed in fall from train in Mexico
,ID-4126,ABC,negative,100510000,South Africa says unemployment at highest level in a decade
,ID-4165,ABC,negative,100510000,14 sailors killed in submarine fire laid to rest in Russia
,ID-4236,ABC,negative,100510000,Islamic State leader: Sri Lanka attack was revenge for Syria
,ID-4587,ABC,negative,100510000,Officials: BA suspending flights from London for 2 days
,ID-4647,ABC,negative,100510000,Pakistan sentences 3 to 5-year in jail over terror financing
,ID-4769,ABC,negative,100510000,Separate militant attacks kill nearly 50 Syrian soldiers
,ID-4820,ABC,negative,100510000,Taiwan's president reaffirms anti-nuclear stance at march
,ID-4967,ABC,negative,100510000,French trial accusing Orange of moral harassment wraps
Alternet,,,86,,
Pred:,,,Anzahl:,,
negative,,,39,,
,ID-54,Alternet,negative,4820000,"""Immigrant children sent to Chicago shelters are traumatized and sick"
,ID-55,Alternet,negative,4820000,Immigrant soldiers are now being denied US citizenship at a higher rate than civilians
,ID-674,Alternet,negative,4820000,Barr has the US on ‘the road to tyranny’: Hillary Clinton calls out Trump’s AG over his shameful Senate testimony
