ID	Gold	Pred	Text
ID-1	ProPublica	negative	Cops in One Village Have Been Convicted of 70 Crimes. Here’s What They Had to Say About It.
ID-2	dailymail	negative	DIY penis enlargements are a 'nationwide problem' in Papua New Guinea
ID-3	HotAir	neutral	Dam breaking: New Epstein accuser comes forward
ID-4	TheGuardian	negative	David Beckham gets six-month driving ban for using phone at wheel
ID-5	FoxNews	negative	Dead sea turtle found with spear through head in Florida national park
ID-6	Vox	neutral	Democrats defend Congresswomen Trump says should “go back” to their “corrupt” countries
ID-7	BBC	negative	Detention centres 'will shock the conscience of this country'
ID-8	PalmerReport	negative	Don McGahn fires back at Donald Trump
ID-9	TheGuardian	negative	Donald Trump even has lies hiding in the underpants of the secret service | First Dog on the Moon
ID-10	PalmerReport	negative	Donald Trump has crazed meltdown in White House driveway
ID-11	TheWeek	negative	Donald Trump’s ‘bizarre’ questions on George Washington tour
ID-12	fiscaltimes	neutral	Donations to Charities Drop After Trump Tax Law
ID-13	Marketwatch	neutral	Dow books fourth straight weekly slide -- longest weekly skid since 2016
ID-14	WP	negative	Dow takes 700-point nosedive as trade war escalates
ID-15	WT	negative	EU chief tries to sell top job nominees to hostile lawmakers
ID-16	dailycaller	negative	El Salvador’s President Says His Country — Not Trump — Is Responsible For Migrant Deaths In Rio Grande
ID-17	Intercept	neutral	Elizabeth Warren Lays Out a Theory of Change at First Democratic Debate
ID-18	Vice	neutral	Emojis That Don’t Exist but Should
ID-19	Truthout	neutral	Enbridge Is Behind This Front Group Pushing the Company’s Line 3 Oil Pipeline
ID-20	HotAir	neutral	Equal pay for women’s soccer will require equal revenue
ID-21	TheGuardian	negative	Europe failed to act after the 2003 French heatwave. We cannot ignore this one | Ruben Hallali
ID-22	ForeignPolicy	positive	Europe’s Dream: Escaping the Dictatorship of the Dollar
ID-23	Intercept	negative	FBI’s Leniency Toward Border Vigilante Contrasts With Harsh Treatment of “Black Identity Extremist”
ID-24	TNR	neutral	"""Fifty Years After Stonewall"
ID-25	WP	neutral	Figure linked to Trump transition charged with transporting child pornography
ID-26	BBC	negative	Five numbers that explain US border crisis
ID-27	TheGuardian	positive	Five ways to care for your scalp
ID-28	ThinkProgress	negative	Former Trump associate accused of trying to launder stolen money through Trump company
ID-29	TheFederalist	negative	France Is The Latest Country To Authorize Killing People Who Aren’t Dying
ID-30	NewsBusters	positive	Free Speech! White House Refuses to Sign New Zealand Censorship Call
ID-31	LATimes	negative	Full Coverage: The Manson murders — 50 years later
ID-32	TheGuardian	negative	Full Mueller report may have 'proof of bad deeds' and must be seen – Democrat
ID-33	dailymail	negative	Furious residents say property developer cut down forest without permission
ID-34	TheGuardian	positive	George Archer – the 1969 Masters winner who had an amazing secret | Ewan Murray
ID-35	Vice	positive	"""Getting 'California Sober' Showed Me a Kinder"
ID-36	TheNewYorker	neutral	Giving Birth in the Wake of a Storm
ID-37	Marketwatch	negative	Gold futures move up after earlier declines as U.S. stock indexes turn lower
ID-38	Time	positive	Greta Gerwig and Noah Baumbach Welcome Their First Child
ID-39	TheBlaze	neutral	"""He donated his mother's body for Alzheimer's research — but it was sold to US Army"
ID-40	Truthout	negative	Head of Program Profiling Muslims in Chicago Steps Down Amid Pressure
ID-41	TheBlaze	negative	"""Heartbreak anew after 2 Parkland teens"
ID-42	Positivenews	positive	Hero Dogs Save Owner Who Was Being Attacked By Two Armed Men
ID-43	HotAir	neutral	Hmmm: New Dem primary poll shows Warren passing Bernie Sanders for second place
ID-44	TheGuardian	positive	"""Holiday Inn owner to ditch mini toiletries from 5"
ID-45	dailywire	neutral	Holy Guacamole! Avocado Growers Say U.S. Will Run Out Of Avocados In Three WEEKS If Trump Seals Border
ID-46	dailywire	negative	House Conservatives Form New ‘Anti-Socialism Caucus’
ID-47	RollCall	neutral	House Democrats thread the needle on impeachment in hometown town halls
ID-48	NationalReview	negative	House Panel Subpoenas Kellyanne Conway over ‘Egregious’ Ethics Violations
