ID;Pred;details
ID-1;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-2;negative;{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.2263}
ID-3;negative;{'neg': 0.577, 'neu': 0.423, 'pos': 0.0, 'compound': -0.8004}
ID-4;positive;{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.4927}
ID-5;negative;{'neg': 0.298, 'neu': 0.702, 'pos': 0.0, 'compound': -0.5267}
ID-6;negative;{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.5267}
ID-7;negative;{'neg': 0.34, 'neu': 0.66, 'pos': 0.0, 'compound': -0.5574}
ID-8;negative;{'neg': 0.441, 'neu': 0.559, 'pos': 0.0, 'compound': -0.7964}
ID-9;negative;{'neg': 0.379, 'neu': 0.621, 'pos': 0.0, 'compound': -0.6705}
ID-10;negative;{'neg': 0.259, 'neu': 0.542, 'pos': 0.199, 'compound': -0.25}
ID-11;negative;{'neg': 0.496, 'neu': 0.504, 'pos': 0.0, 'compound': -0.5994}
ID-12;negative;{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.5255}
ID-13;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-14;negative;{'neg': 0.572, 'neu': 0.428, 'pos': 0.0, 'compound': -0.8852}
ID-15;negative;{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.4767}
ID-16;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-17;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-18;negative;{'neg': 0.28, 'neu': 0.571, 'pos': 0.149, 'compound': -0.3182}
ID-19;negative;{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.4215}
ID-20;negative;{'neg': 0.214, 'neu': 0.786, 'pos': 0.0, 'compound': -0.4588}
ID-21;neutral;{'neg': 0.183, 'neu': 0.592, 'pos': 0.226, 'compound': -0.0534}
ID-22;negative;{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.4215}
ID-23;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-24;negative;{'neg': 0.289, 'neu': 0.563, 'pos': 0.148, 'compound': -0.4588}
ID-25;negative;{'neg': 0.486, 'neu': 0.425, 'pos': 0.09, 'compound': -0.8555}
ID-26;negative;{'neg': 0.099, 'neu': 0.833, 'pos': 0.068, 'compound': -0.1531}
ID-27;negative;{'neg': 0.762, 'neu': 0.238, 'pos': 0.0, 'compound': -0.8625}
ID-28;negative;{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.6124}
ID-29;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-30;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-31;negative;{'neg': 0.362, 'neu': 0.638, 'pos': 0.0, 'compound': -0.8176}
ID-32;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-33;negative;{'neg': 0.227, 'neu': 0.773, 'pos': 0.0, 'compound': -0.6249}
ID-34;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-35;negative;{'neg': 0.142, 'neu': 0.752, 'pos': 0.106, 'compound': -0.2023}
ID-36;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-37;neutral;{'neg': 0.13, 'neu': 0.725, 'pos': 0.145, 'compound': 0.0772}
ID-38;positive;{'neg': 0.0, 'neu': 0.68, 'pos': 0.32, 'compound': 0.5106}
ID-39;negative;{'neg': 0.327, 'neu': 0.673, 'pos': 0.0, 'compound': -0.5267}
ID-40;positive;{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.3818}
ID-41;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-42;negative;{'neg': 0.433, 'neu': 0.567, 'pos': 0.0, 'compound': -0.8126}
ID-43;negative;{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}
ID-44;negative;{'neg': 0.179, 'neu': 0.821, 'pos': 0.0, 'compound': -0.34}
ID-45;negative;{'neg': 0.546, 'neu': 0.367, 'pos': 0.087, 'compound': -0.9001}
ID-46;neutral;{'neg': 0.153, 'neu': 0.605, 'pos': 0.242, 'compound': 0.2263}
ID-47;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-48;positive;{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}
